+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                             ;
+-------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                         ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:30:MUXI|not_1   ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:30:MUXI         ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:29:MUXI|or_1    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:29:MUXI|and_2   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:29:MUXI|and_1   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:29:MUXI|not_1   ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:29:MUXI         ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:28:MUXI|or_1    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:28:MUXI|and_2   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:28:MUXI|and_1   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:28:MUXI|not_1   ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:28:MUXI         ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:27:MUXI|or_1    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:27:MUXI|and_2   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:27:MUXI|and_1   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:27:MUXI|not_1   ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:27:MUXI         ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:26:MUXI|or_1    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:26:MUXI|and_2   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:26:MUXI|and_1   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:26:MUXI|not_1   ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:26:MUXI         ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:25:MUXI|or_1    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:25:MUXI|and_2   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:25:MUXI|and_1   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:25:MUXI|not_1   ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:25:MUXI         ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:24:MUXI|or_1    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:24:MUXI|and_2   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:24:MUXI|and_1   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:24:MUXI|not_1   ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:24:MUXI         ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:23:MUXI|or_1    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:23:MUXI|and_2   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:23:MUXI|and_1   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:23:MUXI|not_1   ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:23:MUXI         ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:22:MUXI|or_1    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:22:MUXI|and_2   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:22:MUXI|and_1   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:22:MUXI|not_1   ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:22:MUXI         ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:21:MUXI|or_1    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:21:MUXI|and_2   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:21:MUXI|and_1   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:21:MUXI|not_1   ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:21:MUXI         ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:20:MUXI|or_1    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:20:MUXI|and_2   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:20:MUXI|and_1   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:20:MUXI|not_1   ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:20:MUXI         ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:19:MUXI|or_1    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:19:MUXI|and_2   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:19:MUXI|and_1   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:19:MUXI|not_1   ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:19:MUXI         ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:18:MUXI|or_1    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:18:MUXI|and_2   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:18:MUXI|and_1   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:18:MUXI|not_1   ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:18:MUXI         ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:17:MUXI|or_1    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:17:MUXI|and_2   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:17:MUXI|and_1   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:17:MUXI|not_1   ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:17:MUXI         ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:16:MUXI|or_1    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:16:MUXI|and_2   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:16:MUXI|and_1   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:16:MUXI|not_1   ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:16:MUXI         ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:15:MUXI|or_1    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:15:MUXI|and_2   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:15:MUXI|and_1   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:15:MUXI|not_1   ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:15:MUXI         ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:14:MUXI|or_1    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:14:MUXI|and_2   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:14:MUXI|and_1   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:14:MUXI|not_1   ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:14:MUXI         ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:13:MUXI|or_1    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:13:MUXI|and_2   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:13:MUXI|and_1   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:13:MUXI|not_1   ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:13:MUXI         ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:12:MUXI|or_1    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:12:MUXI|and_2   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:12:MUXI|and_1   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:12:MUXI|not_1   ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:12:MUXI         ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:11:MUXI|or_1    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:11:MUXI|and_2   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:11:MUXI|and_1   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:11:MUXI|not_1   ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:11:MUXI         ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:10:MUXI|or_1    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:10:MUXI|and_2   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:10:MUXI|and_1   ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:10:MUXI|not_1   ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:10:MUXI         ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:9:MUXI|or_1     ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:9:MUXI|and_2    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:9:MUXI|and_1    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:9:MUXI|not_1    ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:9:MUXI          ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:8:MUXI|or_1     ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:8:MUXI|and_2    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:8:MUXI|and_1    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:8:MUXI|not_1    ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:8:MUXI          ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WordShifter0|final_shift|OutputSelect|\G_NBit_MUX:7:MUXI|or_1     ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
